,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
90,90,7.11e+17,adgzonekanpur,2016-03-19 12:38:00,140,28421,178.0,"Kanpur, India",0.0,0.2,4.066666667,5.566666667000001,0.433333333,50608,0,2021-07-06 16:08:28,179.0,1935.1461574074074,26.152029812467273,1.78,10.87160762588431
91,91,1456517174.0,digmoradabad,2013-05-25 10:05:00,145,27077,27.0,"मुरादाबाद, उत्तर प्रदेश, भारत",0.6333333329999999,0.033333333,2.933333333,12.4,0.0,239528,0,2021-07-06 16:08:28,28.0,2964.252407407407,80.80553444148025,8.85,109.78712620027434
92,92,1398976800.0,igrangeagra,2013-03-05 06:29:00,138,17678,189.0,"Agra, India",1.8,0.066666667,3.733333333,76.33333333,0.0,47318,0,2021-07-06 16:08:28,190.0,3045.4024074074073,15.537519732993992,2.68,16.113240250832842
93,93,1469381294.0,shravastipolice,2013-05-30 09:54:00,132,6418,157.0,0,1.266666667,0.533333333,4.466666667,127.4333333,1.233333333,28760,0,2021-07-06 16:08:28,158.0,2959.2600462962964,9.718645725641782,4.48,18.848790103798066
94,94,1317707898.0,gorakhpurpolice,2013-03-31 04:41:00,134,17225,16.0,"गोरखपुर, भारत",0.333333333,0.933333333,5.4,45.06666667,6.466666667,7086,0,2021-07-06 16:08:28,17.0,3019.4774074074076,2.346763709049972,0.41,188.71733796296297
95,95,1471906255.0,kaushambipolice,2013-05-31 11:00:00,134,6551,169.0,"Uttar Pradesh, India",0.333333333,0.266666667,2.666666667,29.96666667,2.633333333,13014,0,2021-07-06 16:08:28,170.0,2958.214212962963,4.39927573296496,1.99,17.50422611220688
96,96,2456384107.0,hathraspolice,2014-04-21 09:59:00,135,5492,232.0,0,0.533333333,0.266666667,2.566666667,14.33333333,0.0,37779,0,2021-07-06 16:08:28,233.0,2633.2565740740743,14.346873894460565,6.88,11.350243853767562
97,97,1399708710.0,IgRangeVaranasi,2013-03-05 13:20:00,142,22991,17.0,"Varanasi, India",0.233333333,0.166666667,3.166666667,22.76666667,0.7333333329999999,15321,0,2021-07-06 16:08:28,18.0,3045.1169907407407,5.031333786710469,0.67,179.12452886710238
98,98,3178012657.0,sonbhadrapolice,2015-04-28 08:41:00,134,11014,142.0,Sonbhadra U.P India,0.3,0.6333333329999999,2.3,33.1,7.1,7398,0,2021-07-06 16:08:28,143.0,2261.3107407407406,3.2715539119478234,0.67,15.924723526343243
99,99,1331034252.0,jaunpurpolice,2013-06-04 08:23:00,132,5538,147.0,"Jaunpur, India",0.1,0.7,2.933333333,8.066666667,8.1,25194,0,2021-07-06 16:08:28,148.0,2954.323240740741,8.527841385996435,4.55,20.097437011841773
100,100,8.1e+17,BngWeather,2016-12-16 06:40:00,142,5510,140.0,"Bengaluru, India",0.8666666670000001,0.5,0.7,50.03333333,24.03333333,6147,0,2021-07-06 16:08:28,141.0,1663.3947685185185,3.695454690815667,1.12,11.881391203703703
101,101,7.92e+17,UdhampurPolice,2016-10-29 10:06:00,31,5238,153.0,"Udhampur, Jammu And Kashmir",0.0,0.966666667,1.166666667,3.666666667,19.63333333,681,0,2021-07-06 16:08:28,154.0,1711.251712962963,0.3979543131155592,0.13,11.184651718712177
102,102,8.27e+17,DHFWKA,2017-01-02 10:09:00,94,1286,1734.0,"Karnataka, India",0.9,1.066666667,0.0,1.5666666669999998,7.633333332999999,1467,0,2021-07-06 16:08:28,1735.0,1646.2496296296297,0.8911163736024913,1.14,0.9493942500747576
103,103,3657712400.0,digilocker_ind,2015-09-23 08:32:00,160,15500,20.0,"New Delhi, Delhi",0.033333333,0.7666666670000001,1.766666667,3.266666667,8.933333333,1317,0,2021-07-06 16:08:28,21.0,2113.316990740741,0.6231909390641756,0.08,105.66584953703705
104,104,8.75e+17,BaramullaPolice,2017-06-14 13:58:00,160,6128,145.0,"Baramulla J&K,INDIA🇮🇳",0.166666667,0.7,1.2,43.4,28.53333333,533,0,2021-07-06 16:08:28,146.0,1483.090601851852,0.3593846521139523,0.09,10.22821104725415
105,105,264681786.0,KashmirPolice,2011-12-03 08:41:00,90,14163,96.0,0,1.3666666669999998,0.3,0.933333333,9.4,15.16666667,6601,0,2021-07-06 16:08:28,97.0,3503.3107407407406,1.8842176696561845,0.47,36.49282021604938
106,106,1.07e+18,DistrictPolice1,2018-01-12 04:56:00,71,40,73.0,"Chitradurga, India",0.6333333329999999,0.666666667,0.4,10.66666667,0.8,165,0,2021-07-06 16:08:28,74.0,1271.4669907407408,0.12977135954105506,4.12,17.417356037544394
107,107,7.4e+17,Tripura_Police,2016-06-06 13:31:00,33,2085,38.0,"Agartala, India",0.533333333,0.6333333329999999,1.4333333330000002,31.73333333,14.7,285,0,2021-07-06 16:08:28,39.0,1856.109351851852,0.15354698779770368,0.14,48.84498294346979
108,108,4843765218.0,JmuKmrPolice,2016-01-02 09:02:00,138,60584,176.0,"Jammu, Srinagar",0.2,0.033333333,1.0,8.066666667,0.0,7047,0,2021-07-06 16:08:28,177.0,2012.2961574074075,3.501969615187846,0.12,11.43350089436027
109,109,9.08e+17,PoliceRajasthan,2017-09-13 13:01:00,152,37987,233.0,"Jaipur, India",1.6,1.466666667,0.933333333,73.9,155.16666669999995,1663,0,2021-07-06 16:08:28,234.0,1392.1301851851852,1.1945721870679666,0.04,5.974807661738992
110,110,3306790844.0,assampolice,2015-05-08 09:23:00,97,12819,98.0,"Guwahati, Assam",0.0,0.6,5.6,78.2,68.4,1168,0,2021-07-06 16:08:28,99.0,2251.281574074074,0.5188155997236307,0.09,22.97226095993953
111,111,2842306788.0,hydcitypolice,2014-06-10 12:54:00,135,124721,181.0,Hyderabad,0.066666667,0.4,4.2,1.733333333,3.0333333330000003,33073,0,2021-07-06 16:08:28,182.0,2583.1350462962964,12.80343435679839,0.27,14.271464344178433
112,112,3412395613.0,KolkataPolice,2015-01-09 07:23:00,100,664916,22.0,"18 Lalbazar St. Kolkata-1,WB",0.333333333,0.6,0.966666667,9.366666667,39.16666667,2944,0,2021-07-06 16:08:28,23.0,2370.3649074074074,1.242002862428472,0.0,107.74385942760942
113,113,143766231.0,dtptraffic,2010-05-14 10:06:00,40,1156777,21.0,"India, Delhi",0.0,0.8666666670000001,6.266666667000001,0.6333333329999999,3.133333333,153973,0,2021-07-06 16:08:28,22.0,4071.2517129629628,37.81957266600497,0.13,193.86912918871252
114,114,9.6e+17,AhmedabadPolice,2018-03-02 06:56:00,96,25084,24.0,"Ahmedabad, Gujarat",0.7,1.1,4.9,63.0,195.6,2850,0,2021-07-06 16:08:28,25.0,1222.3836574074073,2.331510228175544,0.11,50.9326523919753
115,115,8.06e+17,GujaratPolice,2016-05-12 09:16:00,102,29657,71.0,"Gandhinagar, Gujarat, India",0.466666667,1.6,1.266666667,112.6,651.0666667,582,0,2021-07-06 16:08:28,72.0,1881.2864351851852,0.30936277916802746,0.02,26.496992044861763
116,116,626218913.0,CPDelhi,2012-04-07 06:32:00,153,146190,11.0,"Delhi, India",0.4,0.533333333,0.666666667,119.96666670000002,384.0666667,835,0,2021-07-06 16:08:28,12.0,3377.400324074074,0.24723157454807143,0.01,307.0363930976431
117,117,1100927498.0,DDNewsLive,2013-01-18 13:04:00,134,2479105,38.0,"New Delhi, India",0.566666667,0.966666667,0.033333333,14.83333333,53.43333333,139376,0,2021-07-06 16:08:28,39.0,3091.1281018518516,45.089040443358456,0.06,81.34547636452241
118,118,7.85e+17,IAF_MCC,2016-08-10 10:41:00,45,561004,21.0,"New Delhi,India",0.8666666670000001,0.8666666670000001,0.333333333,281.1,1608.566667,2729,0,2021-07-06 16:08:28,22.0,1791.2274074074073,1.523536312985468,0.0,85.29654320987655
119,119,7.89e+17,CISFHQrs,2016-10-21 04:49:00,126,154444,100.0,I N D I A,0.6333333329999999,1.033333333,0.3666666670000001,10.36666667,105.9,6941,0,2021-07-06 16:08:28,101.0,1719.4718518518519,4.036704638418256,0.04,17.194718518518517
120,120,1.09e+18,SiManojThakur1,2019-01-30 15:24:00,51,472,859.0,"Ahraura, India",0.7,0.7,1.3,8.166666667000001,26.76666667,179,0,2021-07-06 16:08:28,860.0,888.0308796296297,0.20156956712434976,0.38,1.0337961346095805
121,121,7.24e+17,VikramA79117869,2016-04-22 13:27:00,155,470,25.0,गौतमबुद्धनगर (उत्तर प्रदेश),0.4,0.466666667,2.0,425.9,0.466666667,17320,0,2021-07-06 16:08:28,26.0,1901.1121296296296,9.110456837374576,36.85,76.04448518518518
122,122,7.24e+17,VikramA79117869,2016-04-22 13:27:00,155,472,25.0,गौतमबुद्धनगर (उत्तर प्रदेश),0.4,0.466666667,2.0,425.9,0.466666667,17320,0,2021-07-06 16:08:28,26.0,1901.1121296296296,9.110456837374576,36.69,76.04448518518518
123,123,1.08e+18,GuwahatiPol,2019-12-01 16:19:00,73,739,28.0,"Guwahati, India",0.3666666670000001,0.4,1.066666667,169.2333333,11.13333333,26,0,2021-07-06 16:08:28,29.0,582.9926851851852,0.04459747207933013,0.04,20.82116732804233
